a15a

"Stromeyer, August Ernst Philipp (1785-1828)"
"Stromeyer, Friedrich (1776-1835)"
"Stünkel, ? (????-????)"
"Stünkel, ? (????-????) ?"
"Styx, Martin Ernst (1759-1829)"
"Sylvestre, Espérance (1790-1842)"
"Symmons, John (????-????)"
"Szentkiraly, Alexander von (????-????)"
"Tantini, Francesco? (????-????)"
"Tengström, Johan Magnus af (1793-1856)"
"Thann, ?, von der (????-????)"
"Thätjenhorst, Johann Heinrich (1803-1859)"
"Thorlacius, Børge (1775-1829)"
"Thümmel, Moritz August von (1738-1817)"
"Thunberg, Carl Peter (1743-1828)"
"Tiarks, Johann Ludwig (1789-1837)"
"Trebra, Friedrich Wilhelm Heinrich von (1740-1819)"
"Turner, Thomas (1773-1865)"
"Tychsen, Oluf Gerhard (1734-1815)"
unbekannt
"Veltheim, Franz Wilhelm Werner von (1785-1839)"
"Vincent, William (1739-1815)"
"Voss, ? (????-????)"
"Wad, Gregers (1755 - 1832)"
"Wad, Gregers (1755-1832)"
"Waldeck-Pyrmont, Friedrich Karl August zu (1743-1812)"
"Weiss, ? (????-????)"
"Weisse, Johann Philipp (1753-1840)"
"Welcker, Friedrich Gottlieb (1784-1868)"
"Werlhof, Ernst August von (1778-1857) ?"
"Westrumb, Johann Friedrich (1751-1819)"
"Wied-Neuwied, Louise zu (1747-1823)"
"Wied-Neuwied, Maximilian zu (1782-1867)"
"Wied-Neuwied, Maximilian, zu (1782-1867)"
"Wilde, ? (????-????)"
"Wolff, Caspar Friedrich (1734-1794)"
"Wolff, Gisbert Jacob (1770-1804)"
"Wyss, Samuel (1757-1834)"
"Zach, Franz Xaver von (1754-1832)"
"Zayk, ? (????-????)"
"Zayk, ? von (????-????)"
"Zayk, ??? (????-????)"
